patch_px,stride_px,score,row0,row1,col0,col1,height_px,width_px,center_row,center_col,x0,y0,x1,y1,center_x,center_y,crs,raw_candidate_json
128,64,0.48650145530700684,0,512,0,512,512,512,256,256,78.0,11.6,78.00512,11.59488,78.002565,11.597434999999999,EPSG:4326,"{""patch_px"": 128, ""stride_px"": 64, ""score"": 0.48650145530700684, ""grid_y0"": 0, ""grid_y1"": 6, ""grid_x0"": 0, ""grid_x1"": 6}"
256,128,0.4848860502243042,0,512,0,512,512,512,256,256,78.0,11.6,78.00512,11.59488,78.002565,11.597434999999999,EPSG:4326,"{""patch_px"": 256, ""stride_px"": 128, ""score"": 0.4848860502243042, ""grid_y0"": 0, ""grid_y1"": 2, ""grid_x0"": 0, ""grid_x1"": 2}"
