patch_px,stride_px,score,row0,row1,col0,col1,height_px,width_px,center_row,center_col,x0,y0,x1,y1,center_x,center_y,crs,raw_candidate_json,circularity,concentricity,radial_symmetry,ring_density,final_score
128,64,0.4865014553070068,0,512,0,512,512,512,256,256,78.0,11.6,78.00512,11.59488,256.7862004950495,256.7862004950495,EPSG:4326,"{""patch_px"": 128, ""stride_px"": 64, ""score"": 0.48650145530700684, ""grid_y0"": 0, ""grid_y1"": 6, ""grid_x0"": 0, ""grid_x1"": 6}",0.8983173718717162,0.6666666666666666,0.9629873037338257,0.4,0.6355470815367149
256,128,0.4848860502243042,0,512,0,512,512,512,256,256,78.0,11.6,78.00512,11.59488,256.7862004950495,256.7862004950495,EPSG:4326,"{""patch_px"": 256, ""stride_px"": 128, ""score"": 0.4848860502243042, ""grid_y0"": 0, ""grid_y1"": 2, ""grid_x0"": 0, ""grid_x1"": 2}",0.8983173718717162,0.6666666666666666,0.9629873037338257,0.4,0.6349009195036339
